,Year,GDP (current US$) , GDP per capita (current US$) ,Consumption Growth(annual %),GDP growth (annual %),GCF % of GDP,Imports of goods and services (% of GDP),Exports of goods and services (% of GDP)," Total reserves (includes gold, current US$) ","Inflation, consumer prices (annual %)","Population, total",Population growth (annual %),"Life expectancy at birth, total (years)"
0,1960,37029883876.18,82,0.0,0.0,17.9313352865365,6.83,4.46,674536630.93,1.78,445954579,2.31,41.13
1,1961,39232435784.04,85,2.06812062053334,3.72,19.2621458305748,5.96,4.3,666357094.86,1.7,456351876,2.33,41.74
2,1962,42161481858.08,90,2.55534641820097,2.93,18.1075707706245,6.03,4.17,512791844.0,3.63,467024193,2.34,42.34
3,1963,48421923459.12,101,5.17919107509522,5.99,18.9954571073478,5.91,4.28,607862500.36,2.95,477933619,2.34,42.94
4,1964,56480289940.99,116,5.84004786998487,7.45,19.5298284931731,5.69,3.73,499145125.79,13.36,489059309,2.33,43.57
5,1965,59554854575.81,119,0.931946738575974,-2.64,20.0572229946494,5.21,3.31,600850886.23,9.47,500114346,2.26,44.2
6,1966,45865462034.29,90,1.33932951079365,-0.06,18.3580138166837,6.67,4.14,609694584.53,10.8,510992617,2.18,44.84
7,1967,50134942204.0,96,5.37394720765315,7.83,18.1975444704142,5.95,4.03,663764119.79,13.06,521987069,2.15,45.47
8,1968,53085455870.67,100,2.87139367308195,3.39,17.7422497493726,4.94,4.04,730352744.87,3.24,533431909,2.19,46.1
9,1969,58447995017.33,108,4.26205478505513,6.54,17.6400952350816,4.03,3.71,927764119.79,-0.58,545314670,2.23,46.75
10,1970,62422483054.67,112,4.00710076092945,5.16,18.2114387329606,3.88,3.78,1023173271.5,5.09,557501301,2.23,47.41
11,1971,67350988021.39,119,2.77497977401981,1.64,19.2036157433701,4.0,3.67,1245821898.02,3.08,569999178,2.24,48.06
12,1972,71463193831.01,123,0.702427245768902,-0.55,19.5484319397646,3.71,4.03,1367601418.59,6.44,582837973,2.25,48.72
13,1973,85515269585.4,144,2.16070366081797,3.3,18.7007586479427,4.72,4.21,1629325093.4,16.94,596107483,2.28,49.37
14,1974,99525899116.05,163,-0.479926541979566,1.19,22.5115175742994,6.02,4.83,2324650346.6,28.6,609721951,2.28,50.0
15,1975,98472796456.88,158,6.10432669819599,9.15,19.5451062648341,6.65,5.65,2064427967.55,5.75,623524219,2.26,50.63
16,1976,102717164466.4,161,2.60075856444453,1.66,19.4192719578301,6.11,6.69,3728750637.45,-7.63,637451448,2.23,51.25
17,1977,121487322475.91,186,7.60628310088069,7.25,21.0956125472848,6.26,6.38,6085439869.41,8.31,651685628,2.23,51.88
18,1978,137300295313.3,206,6.25496177685147,5.71,22.6507207546868,6.59,6.31,8316115827.72,2.52,666267760,2.24,52.51
19,1979,152991653793.77,224,-1.28728317360897,-5.24,23.5953767441188,8.17,6.75,11815414018.57,6.28,681248383,2.25,52.99
20,1980,186325345086.66,267,8.47311538070549,6.74,19.5550034544352,9.25,6.14,12009788667.44,11.35,696828385,2.29,53.47
21,1981,193490610029.79,270,4.33228887342787,6.01,25.5601376265736,8.57,5.94,8108837891.3,13.11,712869298,2.3,53.95
22,1982,200715145363.15,274,2.00528348089406,3.48,25.1341943149186,8.14,5.98,8241561692.95,7.89,729169466,2.29,54.43
23,1983,218262273406.97,291,7.34963930878634,7.29,21.039572118499,7.85,5.84,8215732398.97,11.87,745826546,2.28,54.91
24,1984,212158234167.31,277,3.43759550100589,3.82,23.2914173032368,7.73,6.28,8535944481.2,8.32,762895156,2.29,55.27
25,1985,232511877841.7,296,4.97995109098204,5.25,26.446076903013,7.65,5.25,9493102974.02,5.56,780242084,2.27,55.62
26,1986,248985994040.59,310,3.98877808739728,4.78,26.0656839397255,7.02,5.2,10480102587.56,8.73,797878993,2.26,55.98
27,1987,279033584092.22,340,4.09622393757276,3.97,25.8271313054095,6.98,5.6,11511740598.81,8.8,815716125,2.24,56.33
28,1988,296588994812.35,354,6.13080120127429,9.63,26.2826349946007,7.46,6.04,9185839446.54,9.38,833729681,2.21,56.69
29,1989,296042354984.88,346,5.01770884507818,5.95,26.8610369133862,8.15,7.02,8048455918.16,7.07,852012673,2.19,57.18
30,1990,320979026420.04,368,4.31088143717592,5.53,27.3361977013715,8.45,7.05,5637446363.83,8.97,870452165,2.16,57.66
31,1991,270105341879.23,303,1.82218715236829,1.06,25.1405052776852,8.49,8.49,7615987475.11,13.87,888941756,2.12,58.15
32,1992,288208430383.96,317,2.70211839609482,5.48,27.4402041551128,9.59,8.84,9538786025.17,11.79,907574049,2.1,58.63
33,1993,279296022987.92,301,4.57308073248883,4.75,22.7164105117945,9.82,9.83,14674627089.94,6.33,926351297,2.07,59.12
34,1994,327275583539.56,346,4.35882410865192,6.66,26.3101665544278,10.19,9.89,24220928468.82,10.25,945261958,2.04,59.59
35,1995,360281952716.8,374,6.32831198779814,7.57,29.1523371507615,12.02,10.84,22864636916.1,10.22,964279129,2.01,60.06
36,1996,392897054348.07,400,7.32862893201285,7.55,22.7592531811153,11.54,10.39,24889364657.41,8.98,983281218,1.97,60.53
37,1997,415867753863.87,415,4.13382810842154,4.05,25.6927329061003,11.93,10.69,28385372945.86,7.16,1002335230,1.94,61.0
38,1998,421351477504.74,413,7.34317677299545,6.18,24.9753699425285,12.68,11.02,30646563663.48,13.23,1021434576,1.91,61.47
39,1999,458820417337.81,442,6.9602393384681,8.85,30.9580879682197,13.36,11.45,36005295926.44,4.67,1040500054,1.87,61.88
40,2000,468394937262.37,443,3.10612387283675,3.84,25.6773166834442,13.9,13.0,41059061574.66,4.01,1059633675,1.84,62.28
41,2001,485441014538.64,452,5.38102007132144,4.82,29.9078889829133,13.43,12.56,49050841138.72,3.78,1078970907,1.82,62.69
42,2002,514937948870.08,471,2.3989553273825,3.8,30.2513001211057,15.24,14.26,71607865093.7,4.3,1098313039,1.79,63.09
43,2003,607699285433.87,547,5.45159784663835,7.86,30.8396999425925,15.64,14.95,103737208055.97,3.81,1117415123,1.74,63.5
44,2004,709148514804.66,628,4.99589300191256,7.92,35.0964917014107,19.64,17.86,131631143125.85,3.77,1136264583,1.69,63.91
45,2005,820381595512.9,715,7.6540710019555,7.92,37.4282640174608,22.4,19.61,137824828256.29,4.25,1154638713,1.62,64.31
46,2006,940259888792.14,807,4.80628859934215,8.06,38.9985063718954,24.46,21.27,178049790065.97,5.8,1172373788,1.54,64.72
47,2007,1216735441524.86,1028,7.59380112957741,7.66,41.9507982275664,24.89,20.8,276578100117.41,6.37,1189691809,1.48,65.12
48,2008,1198895582137.51,999,5.47634323580557,3.09,38.4224196526476,29.27,24.1,257422725614.88,8.35,1206734806,1.43,65.53
49,2009,1341886602798.69,1102,6.43843742370743,7.86,39.2567917555943,25.87,20.4,284682887897.59,10.88,1223640160,1.4,65.98
50,2010,1675615335600.56,1358,6.46889957249854,8.5,39.7856241738856,26.85,22.4,300480168786.35,11.99,1240613620,1.39,66.43
51,2011,1823049927771.46,1458,7.27414179103405,5.24,39.5904214421434,31.08,24.54,298739463090.87,8.91,1257621191,1.37,66.87
52,2012,1827637859135.7,1444,4.66983859072198,5.46,38.3474156730201,31.26,24.53,300425517446.55,9.48,1274487215,1.34,67.32
53,2013,1856722121394.53,1450,6.23725464059754,6.39,34.0232020837191,28.41,25.43,298092478740.58,10.02,1291132063,1.31,67.77
54,2014,2039127446298.55,1574,6.57248310715583,7.41,34.2678056156731,25.95,22.97,325081035127.89,6.67,1307246509,1.25,68.07
55,2015,2103587813812.75,1606,7.8574527236984,8.0,32.1167301358463,22.11,19.81,353319061013.22,4.91,1322866505,1.19,68.37
56,2016,2294797980509.01,1733,7.82001018640868,8.26,30.1726916705577,20.92,19.16,361694321972.04,4.95,1338636340,1.19,68.67
57,2017,2651472946374.91,1981,7.08156986276131,6.8,30.9821757629795,21.95,18.79,412613792019.92,3.33,1354195680,1.16,68.97
58,2018,2702929718960.46,1997,7.02913928724918,6.53,32.3432182059831,23.69,19.93,399167159226.68,3.94,1369003306,1.09,69.27
59,2019,2831552222519.99,2101,4.93880900314309,4.04,30.2210173236751,21.27,18.69,463469902152.51,3.73,1383112050,1.03,69.5
60,2020,2667687951796.56,1928,-4.54269737956011,-7.25,27.8963066951088,19.1,18.71,590227359928.9,6.62,1396387127,0.96,69.73
61,2021,3173397590816.91,2277,7.16366255379226,8.95,31.1973628091831,22.86,20.81,638484779930.0,5.1,1410350998,0.97,69.9
